2023-01-14 11:32:39 INFO     Start experiments with Namespace(variant='soft', dataset='citeseer', model='graphsage', grid_search=True, eps=['1', '2', '3', '4'])
2023-01-14 13:21:58 INFO     [Blink-soft: graphsage on citeseer with eps=8] Start grid search for hyperparameter tuning.
2023-01-14 13:57:24 INFO     [Blink-soft: graphsage on citeseer with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1} with validation loss 0.7184534430503845
2023-01-14 13:57:24 INFO     [Blink-soft: graphsage on citeseer with eps=8] Saving best hp to output/best_hp.json
2023-01-14 13:54:06 INFO     Grid search done!
2023-01-14 13:54:06 INFO     Run experiments using found hyperparameters in best_hp.json.
2023-01-14 13:54:06 INFO     [Blink-soft: graphsage on citeseer with eps=1] Run with best hp found: {'do': 0.01, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.5}.
2023-01-14 13:56:53 INFO     [Blink-soft: graphsage on citeseer with eps=1] Test accuracy is 0.7370592948717949 (0.0030671942380485974).
2023-01-14 13:56:53 INFO     [Blink-soft: graphsage on citeseer with eps=1] Saving training results to output/results.json
2023-01-14 13:56:53 INFO     [Blink-soft: graphsage on citeseer with eps=2] Run with best hp found: {'do': 0, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 13:59:38 INFO     [Blink-soft: graphsage on citeseer with eps=2] Test accuracy is 0.7350160256410256 (0.005030239139653697).
2023-01-14 13:59:38 INFO     [Blink-soft: graphsage on citeseer with eps=2] Saving training results to output/results.json
2023-01-14 13:59:38 INFO     [Blink-soft: graphsage on citeseer with eps=3] Run with best hp found: {'do': 0.1, 'lr': 0.01, 'wd': 0.0001, 'delta': 0.1}.
2023-01-14 14:02:24 INFO     [Blink-soft: graphsage on citeseer with eps=3] Test accuracy is 0.7464342948717949 (0.006977252894900809).
2023-01-14 14:02:24 INFO     [Blink-soft: graphsage on citeseer with eps=3] Saving training results to output/results.json
2023-02-02 17:13:42 INFO     [Blink-soft: graphsage on citeseer with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1}.
2023-02-02 17:16:30 INFO     [Blink-soft: graphsage on citeseer with eps=4] Test accuracy is 0.7576923076923078 (0.007866859698054592).
2023-02-02 17:16:30 INFO     [Blink-soft: graphsage on citeseer with eps=4] Saving training results to output/results.json
2023-02-01 23:39:05 INFO     [Blink-soft: graphsage on citeseer with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.01, 'wd': 0.001, 'delta': 0.1}.
2023-02-01 23:41:48 INFO     [Blink-soft: graphsage on citeseer with eps=5] Test accuracy is 0.7827323717948717 (0.006514699035376228).
2023-02-01 23:41:48 INFO     [Blink-soft: graphsage on citeseer with eps=5] Saving training results to output/results.json
2023-01-14 14:00:09 INFO     [Blink-soft: graphsage on citeseer with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1}.
2023-01-14 14:02:54 INFO     [Blink-soft: graphsage on citeseer with eps=6] Test accuracy is 0.7896233974358975 (0.005150847699410073).
2023-01-14 14:02:54 INFO     [Blink-soft: graphsage on citeseer with eps=6] Saving training results to output/results.json
2023-01-14 14:02:54 INFO     [Blink-soft: graphsage on citeseer with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1}.
2023-01-14 14:05:40 INFO     [Blink-soft: graphsage on citeseer with eps=7] Test accuracy is 0.7921875 (0.004403589841102221).
2023-01-14 14:05:40 INFO     [Blink-soft: graphsage on citeseer with eps=7] Saving training results to output/results.json
2023-01-14 14:05:40 INFO     [Blink-soft: graphsage on citeseer with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.001, 'delta': 0.1}.
2023-01-14 14:08:26 INFO     [Blink-soft: graphsage on citeseer with eps=8] Test accuracy is 0.794591346153846 (0.0034466772778851155).
2023-01-14 14:08:26 INFO     [Blink-soft: graphsage on citeseer with eps=8] Saving training results to output/results.json
