2022-10-19 10:51:04 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['rr'], grid_search=True)
2022-10-19 11:54:11 INFO     [rr: gcn on lastfm with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 11:56:11 INFO     [rr: gcn on lastfm with eps=3] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2022-10-19 11:56:11 INFO     [rr: gcn on lastfm with eps=3] Saving training results to output/bl_results.json
2022-10-19 11:56:11 INFO     [rr: gcn on lastfm with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 11:57:26 INFO     [rr: gcn on lastfm with eps=4] Test accuracy is 0.21357117873382309 (0.0001308729411253585).
2022-10-19 11:57:26 INFO     [rr: gcn on lastfm with eps=4] Saving training results to output/bl_results.json
2022-10-19 11:57:26 INFO     [rr: gcn on lastfm with eps=5] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 11:58:32 INFO     [rr: gcn on lastfm with eps=5] Test accuracy is 0.2155299055613851 (0.0020960109502033753).
2022-10-19 11:58:32 INFO     [rr: gcn on lastfm with eps=5] Saving training results to output/bl_results.json
2022-10-19 11:58:32 INFO     [rr: gcn on lastfm with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 11:59:35 INFO     [rr: gcn on lastfm with eps=6] Test accuracy is 0.36922000699545304 (0.029132492232704126).
2022-10-19 11:59:35 INFO     [rr: gcn on lastfm with eps=6] Saving training results to output/bl_results.json
2022-10-19 11:59:35 INFO     [rr: gcn on lastfm with eps=7] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 12:00:38 INFO     [rr: gcn on lastfm with eps=7] Test accuracy is 0.5434242742217559 (0.02513501024399537).
2022-10-19 12:00:38 INFO     [rr: gcn on lastfm with eps=7] Saving training results to output/bl_results.json
2022-10-19 12:00:38 INFO     [rr: gcn on lastfm with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-19 12:01:41 INFO     [rr: gcn on lastfm with eps=8] Test accuracy is 0.6888072752710738 (0.01654284117387189).
2022-10-19 12:01:41 INFO     [rr: gcn on lastfm with eps=8] Saving training results to output/bl_results.json
2022-10-19 12:01:41 INFO     [rr: gcn on lastfm] Experiments done.
2022-10-19 12:01:41 INFO     All baseline experiments done!
