2022-10-21 00:32:28 INFO     Start experiments with Namespace(dataset='lastfm', model='graphsage', method=['ldpgcn', 'rr'], grid_search=True, eps=None)
2022-10-21 00:57:48 INFO     [ldpgcn: graphsage on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-21 00:57:48 INFO     [ldpgcn: graphsage on lastfm with eps=6] Start grid search for hyperparameter tuning.
2022-10-21 01:02:32 INFO     [ldpgcn: graphsage on lastfm with eps=6] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8656184792518615
2022-10-21 01:02:32 INFO     [ldpgcn: graphsage on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-21 01:02:32 INFO     [ldpgcn: graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2022-10-21 01:07:23 INFO     [ldpgcn: graphsage on lastfm with eps=7] Best hparam is: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.75673406124115
2022-10-21 01:07:23 INFO     [ldpgcn: graphsage on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2022-10-21 01:07:23 INFO     [ldpgcn: graphsage on lastfm with eps=8] Start grid search for hyperparameter tuning.
2022-10-21 01:12:12 INFO     [ldpgcn: graphsage on lastfm with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.7401630759239197
2022-10-21 01:12:12 INFO     [ldpgcn: graphsage on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2022-10-21 01:12:12 INFO     [ldpgcn: graphsage on lastfm] Grid search done.
2022-10-21 01:12:12 INFO     [rr: graphsage on lastfm] Grid search for hyperparameter tuning on various epsilons.
2022-10-21 01:12:12 INFO     [rr: graphsage on lastfm with eps=1] Start grid search for hyperparameter tuning.
2022-10-21 02:08:00 INFO     [rr: graphsage on lastfm with eps=1] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1152287483215333
2022-10-21 02:08:00 INFO     [rr: graphsage on lastfm with eps=1] Saving best hp to output/bl_best_hp.json
2022-10-21 02:08:00 INFO     [rr: graphsage on lastfm with eps=2] Start grid search for hyperparameter tuning.
2022-10-21 02:35:58 INFO     [rr: graphsage on lastfm with eps=2] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1520780324935913
2022-10-21 02:35:58 INFO     [rr: graphsage on lastfm with eps=2] Saving best hp to output/bl_best_hp.json
2022-10-21 02:35:58 INFO     [rr: graphsage on lastfm with eps=3] Start grid search for hyperparameter tuning.
2022-10-21 02:48:49 INFO     [rr: graphsage on lastfm with eps=3] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.1033946990966796
2022-10-21 02:48:49 INFO     [rr: graphsage on lastfm with eps=3] Saving best hp to output/bl_best_hp.json
2022-10-21 02:48:49 INFO     [rr: graphsage on lastfm with eps=4] Start grid search for hyperparameter tuning.
2022-10-21 02:56:08 INFO     [rr: graphsage on lastfm with eps=4] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.121950340270996
2022-10-21 02:56:08 INFO     [rr: graphsage on lastfm with eps=4] Saving best hp to output/bl_best_hp.json
2022-10-21 02:56:08 INFO     [rr: graphsage on lastfm with eps=5] Start grid search for hyperparameter tuning.
2022-10-21 03:01:10 INFO     [rr: graphsage on lastfm with eps=5] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.0770642757415771
2022-10-21 03:01:10 INFO     [rr: graphsage on lastfm with eps=5] Saving best hp to output/bl_best_hp.json
2022-10-21 03:01:10 INFO     [rr: graphsage on lastfm with eps=6] Start grid search for hyperparameter tuning.
2022-10-21 03:05:42 INFO     [rr: graphsage on lastfm with eps=6] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 1.0147173285484314
2022-10-21 03:05:42 INFO     [rr: graphsage on lastfm with eps=6] Saving best hp to output/bl_best_hp.json
2022-10-21 03:05:42 INFO     [rr: graphsage on lastfm with eps=7] Start grid search for hyperparameter tuning.
2022-10-21 03:10:14 INFO     [rr: graphsage on lastfm with eps=7] Best hparam is: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.9817173600196838
2022-10-21 03:10:14 INFO     [rr: graphsage on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2022-10-21 03:10:14 INFO     [rr: graphsage on lastfm with eps=8] Start grid search for hyperparameter tuning.
2022-10-21 03:14:36 INFO     [rr: graphsage on lastfm with eps=8] Best hparam is: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001} with validation loss 0.8537458300590515
2022-10-21 03:14:36 INFO     [rr: graphsage on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2022-10-21 03:14:36 INFO     [rr: graphsage on lastfm] Grid search done.
2022-10-21 03:14:36 INFO     Grid search done!
2022-10-21 03:14:36 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2022-10-21 03:14:36 INFO     [ldpgcn: graphsage on lastfm] Start running experiments on various epsilons.
2022-10-21 03:14:36 INFO     [ldpgcn: graphsage on lastfm with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:15:38 INFO     [ldpgcn: graphsage on lastfm with eps=1] Test accuracy is 0.6765477439664219 (0.026411685600251634).
2022-10-21 03:15:38 INFO     [ldpgcn: graphsage on lastfm with eps=1] Saving training results to output/bl_results.json
2022-10-21 03:15:38 INFO     [ldpgcn: graphsage on lastfm with eps=2] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:16:40 INFO     [ldpgcn: graphsage on lastfm with eps=2] Test accuracy is 0.6610003497726478 (0.04426325525452735).
2022-10-21 03:16:40 INFO     [ldpgcn: graphsage on lastfm with eps=2] Saving training results to output/bl_results.json
2022-10-21 03:16:40 INFO     [ldpgcn: graphsage on lastfm with eps=3] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:17:41 INFO     [ldpgcn: graphsage on lastfm with eps=3] Test accuracy is 0.672560335781742 (0.03212191436869281).
2022-10-21 03:17:41 INFO     [ldpgcn: graphsage on lastfm with eps=3] Saving training results to output/bl_results.json
2022-10-21 03:17:41 INFO     [ldpgcn: graphsage on lastfm with eps=4] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:18:44 INFO     [ldpgcn: graphsage on lastfm with eps=4] Test accuracy is 0.6971493529206014 (0.031361467783629665).
2022-10-21 03:18:44 INFO     [ldpgcn: graphsage on lastfm with eps=4] Saving training results to output/bl_results.json
2022-10-21 03:18:44 INFO     [ldpgcn: graphsage on lastfm with eps=5] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:19:47 INFO     [ldpgcn: graphsage on lastfm with eps=5] Test accuracy is 0.7340503672612801 (0.039155485705252006).
2022-10-21 03:19:47 INFO     [ldpgcn: graphsage on lastfm with eps=5] Saving training results to output/bl_results.json
2022-10-21 03:19:47 INFO     [ldpgcn: graphsage on lastfm with eps=6] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:20:50 INFO     [ldpgcn: graphsage on lastfm with eps=6] Test accuracy is 0.7745190626093038 (0.029984825074184433).
2022-10-21 03:20:50 INFO     [ldpgcn: graphsage on lastfm with eps=6] Saving training results to output/bl_results.json
2022-10-21 03:20:50 INFO     [ldpgcn: graphsage on lastfm with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:21:53 INFO     [ldpgcn: graphsage on lastfm with eps=7] Test accuracy is 0.7955753760055962 (0.03144059714938945).
2022-10-21 03:21:53 INFO     [ldpgcn: graphsage on lastfm with eps=7] Saving training results to output/bl_results.json
2022-10-21 03:21:53 INFO     [ldpgcn: graphsage on lastfm with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:22:56 INFO     [ldpgcn: graphsage on lastfm with eps=8] Test accuracy is 0.8173837005946135 (0.0156748886253589).
2022-10-21 03:22:56 INFO     [ldpgcn: graphsage on lastfm with eps=8] Saving training results to output/bl_results.json
2022-10-21 03:22:56 INFO     [ldpgcn: graphsage on lastfm] Experiments done.
2022-10-21 03:22:56 INFO     [rr: graphsage on lastfm] Start running experiments on various epsilons.
2022-10-21 03:22:56 INFO     [rr: graphsage on lastfm with eps=1] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:35:21 INFO     [rr: graphsage on lastfm with eps=1] Test accuracy is 0.683473242392445 (0.028085072019539005).
2022-10-21 03:35:21 INFO     [rr: graphsage on lastfm with eps=1] Saving training results to output/bl_results.json
2022-10-21 03:35:21 INFO     [rr: graphsage on lastfm with eps=2] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:41:32 INFO     [rr: graphsage on lastfm with eps=2] Test accuracy is 0.6825988107729976 (0.047562486040710776).
2022-10-21 03:41:32 INFO     [rr: graphsage on lastfm with eps=2] Saving training results to output/bl_results.json
2022-10-21 03:41:32 INFO     [rr: graphsage on lastfm with eps=3] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:44:22 INFO     [rr: graphsage on lastfm with eps=3] Test accuracy is 0.6625743266876529 (0.04706958762331622).
2022-10-21 03:44:22 INFO     [rr: graphsage on lastfm with eps=3] Saving training results to output/bl_results.json
2022-10-21 03:44:22 INFO     [rr: graphsage on lastfm with eps=4] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:46:00 INFO     [rr: graphsage on lastfm with eps=4] Test accuracy is 0.6850297306750611 (0.021338138312380912).
2022-10-21 03:46:00 INFO     [rr: graphsage on lastfm with eps=4] Saving training results to output/bl_results.json
2022-10-21 03:46:00 INFO     [rr: graphsage on lastfm with eps=5] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:47:07 INFO     [rr: graphsage on lastfm with eps=5] Test accuracy is 0.6828611402588319 (0.030297479577056658).
2022-10-21 03:47:07 INFO     [rr: graphsage on lastfm with eps=5] Saving training results to output/bl_results.json
2022-10-21 03:47:07 INFO     [rr: graphsage on lastfm with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:48:07 INFO     [rr: graphsage on lastfm with eps=6] Test accuracy is 0.6956278419027632 (0.045849057350937486).
2022-10-21 03:48:07 INFO     [rr: graphsage on lastfm with eps=6] Saving training results to output/bl_results.json
2022-10-21 03:48:07 INFO     [rr: graphsage on lastfm with eps=7] Run with best hp found: {'do': 0.001, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:49:06 INFO     [rr: graphsage on lastfm with eps=7] Test accuracy is 0.712574326687653 (0.06781861867118986).
2022-10-21 03:49:06 INFO     [rr: graphsage on lastfm with eps=7] Saving training results to output/bl_results.json
2022-10-21 03:49:06 INFO     [rr: graphsage on lastfm with eps=8] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2022-10-21 03:50:03 INFO     [rr: graphsage on lastfm with eps=8] Test accuracy is 0.7559636236446308 (0.028468485497413314).
2022-10-21 03:50:03 INFO     [rr: graphsage on lastfm with eps=8] Saving training results to output/bl_results.json
2022-10-21 03:50:03 INFO     [rr: graphsage on lastfm] Experiments done.
2022-10-21 03:50:03 INFO     All baseline experiments done!
