2023-04-18 14:29:08 INFO     Start experiments with Namespace(dataset='facebook', model='gat', method=['ldpgcn'], grid_search=True, use_dense_model=False, eps=None)
2023-04-18 14:49:10 INFO     [ldpgcn: gat on facebook with eps=6] Run with best hp found: {'do': 0.01, 'lr': 0.1, 'wd': 0.0001}.
2023-04-18 14:52:46 INFO     [ldpgcn: gat on facebook with eps=6] Test accuracy is 0.8402990388038448 (0.003547027561479587).
2023-04-18 14:52:46 INFO     [ldpgcn: gat on facebook with eps=6] Saving training results to output/bl_results.json
2023-04-18 14:52:46 INFO     [ldpgcn: gat on facebook with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-04-18 14:56:33 INFO     [ldpgcn: gat on facebook with eps=7] Test accuracy is 0.8783256200308533 (0.0038181250665769778).
2023-04-18 14:56:33 INFO     [ldpgcn: gat on facebook with eps=7] Saving training results to output/bl_results.json
2023-04-18 14:56:33 INFO     [ldpgcn: gat on facebook with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-04-18 14:59:57 INFO     [ldpgcn: gat on facebook with eps=8] Test accuracy is 0.9001483327400024 (0.003956627851602107).
2023-04-18 14:59:57 INFO     [ldpgcn: gat on facebook with eps=8] Saving training results to output/bl_results.json
2023-04-18 14:59:57 INFO     [ldpgcn: gat on facebook] Experiments done.
2023-04-18 14:59:57 INFO     All baseline experiments done!
