2023-01-25 21:22:32 INFO     Start experiments with Namespace(dataset='citeseer', model='gat', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-26 04:32:43 INFO     [solitude: gat on citeseer with eps=6] Run with best hp found: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.001, 'lam2': 0.01}.
2023-01-26 04:33:57 INFO     [solitude: gat on citeseer with eps=6] Test accuracy is 0.26474358974358975 (0.06272144980675491).
2023-01-26 04:33:57 INFO     [solitude: gat on citeseer with eps=6] Saving training results to output/bl_results.json
2023-01-26 04:33:57 INFO     [solitude: gat on citeseer with eps=7] Run with best hp found: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01}.
2023-01-26 04:35:12 INFO     [solitude: gat on citeseer with eps=7] Test accuracy is 0.13181089743589747 (0.07001710586873794).
2023-01-26 04:35:12 INFO     [solitude: gat on citeseer with eps=7] Saving training results to output/bl_results.json
2023-01-26 04:35:12 INFO     [solitude: gat on citeseer with eps=8] Run with best hp found: {'do': 0.01, 'lr_theta': 0.1, 'lr_adj': 0.1, 'wd': 0.001, 'lam1': 0.01, 'lam2': 0.001}.
2023-01-26 04:36:27 INFO     [solitude: gat on citeseer with eps=8] Test accuracy is 0.13473557692307692 (0.06870638493478035).
2023-01-26 04:36:27 INFO     [solitude: gat on citeseer with eps=8] Saving training results to output/bl_results.json
2023-01-26 04:36:27 INFO     [solitude: gat on citeseer] Experiments done.
2023-01-26 04:36:27 INFO     All baseline experiments done!
