2023-01-25 08:27:58 INFO     Start experiments with Namespace(dataset='lastfm', model='gcn', method=['solitude'], grid_search=True, eps=[1, 2, 3, 4, 5, 6, 7, 8])
2023-01-25 21:41:34 INFO     [solitude: gcn on lastfm with eps=7] Saving best hp to output/bl_best_hp.json
2023-01-25 21:41:34 INFO     [solitude: gcn on lastfm with eps=8] Start grid search for hyperparameter tuning.
2023-01-25 23:32:56 INFO     [solitude: gcn on lastfm with eps=8] Best hparam is: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.001} with validation loss 1.1865547895431519
2023-01-25 23:32:56 INFO     [solitude: gcn on lastfm with eps=8] Saving best hp to output/bl_best_hp.json
2023-01-25 23:32:56 INFO     [solitude: gcn on lastfm] Grid search done.
2023-01-25 23:32:56 INFO     Grid search done!
2023-01-25 23:32:56 INFO     Run baseline experiments using found hyperparameters in bl_best_hp.json.
2023-01-25 23:32:56 INFO     [solitude: gcn on lastfm] Start running experiments on various epsilons.
2023-01-25 23:32:56 INFO     [solitude: gcn on lastfm with eps=1] Run with best hp found: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 1e-05, 'lam2': 0.01}.
2023-01-25 23:35:45 INFO     [solitude: gcn on lastfm with eps=1] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2023-01-25 23:35:45 INFO     [solitude: gcn on lastfm with eps=1] Saving training results to output/bl_results.json
2023-01-25 23:35:45 INFO     [solitude: gcn on lastfm with eps=2] Run with best hp found: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.001, 'lam1': 0.001, 'lam2': 0.0001}.
2023-01-25 23:38:28 INFO     [solitude: gcn on lastfm with eps=2] Test accuracy is 0.21353620146904514 (2.7755575615628914e-17).
2023-01-25 23:38:28 INFO     [solitude: gcn on lastfm with eps=2] Saving training results to output/bl_results.json
2023-01-25 23:38:28 INFO     [solitude: gcn on lastfm with eps=3] Run with best hp found: {'do': 0.01, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 1e-05, 'lam2': 0.0001}.
2023-01-25 23:41:08 INFO     [solitude: gcn on lastfm with eps=3] Test accuracy is 0.2135187128366562 (9.417916766587243e-05).
2023-01-25 23:41:08 INFO     [solitude: gcn on lastfm with eps=3] Saving training results to output/bl_results.json
2023-01-25 23:41:08 INFO     [solitude: gcn on lastfm with eps=4] Run with best hp found: {'do': 0.001, 'lr_theta': 0.01, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.01}.
2023-01-25 23:43:48 INFO     [solitude: gcn on lastfm with eps=4] Test accuracy is 0.2136236446309899 (0.00047089583832935725).
2023-01-25 23:43:48 INFO     [solitude: gcn on lastfm with eps=4] Saving training results to output/bl_results.json
2023-01-25 23:43:48 INFO     [solitude: gcn on lastfm with eps=5] Run with best hp found: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.01, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.001}.
2023-01-25 23:46:27 INFO     [solitude: gcn on lastfm with eps=5] Test accuracy is 0.21379853095487936 (0.0009262373331140549).
2023-01-25 23:46:27 INFO     [solitude: gcn on lastfm with eps=5] Saving training results to output/bl_results.json
2023-01-25 23:46:27 INFO     [solitude: gcn on lastfm with eps=6] Run with best hp found: {'do': 0.1, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.0001}.
2023-01-25 23:49:07 INFO     [solitude: gcn on lastfm with eps=6] Test accuracy is 0.27277019937040925 (0.042626370111783884).
2023-01-25 23:49:07 INFO     [solitude: gcn on lastfm with eps=6] Saving training results to output/bl_results.json
2023-01-25 23:49:07 INFO     [solitude: gcn on lastfm with eps=7] Run with best hp found: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.01, 'lam2': 0.01}.
2023-01-25 23:51:46 INFO     [solitude: gcn on lastfm with eps=7] Test accuracy is 0.4251836306400839 (0.026399471468652905).
2023-01-25 23:51:46 INFO     [solitude: gcn on lastfm with eps=7] Saving training results to output/bl_results.json
2023-01-25 23:51:46 INFO     [solitude: gcn on lastfm with eps=8] Run with best hp found: {'do': 0.001, 'lr_theta': 0.1, 'lr_adj': 0.001, 'wd': 0.0001, 'lam1': 0.0001, 'lam2': 0.001}.
2023-01-25 23:54:25 INFO     [solitude: gcn on lastfm with eps=8] Test accuracy is 0.6125918153200421 (0.041774760536465935).
2023-01-25 23:54:25 INFO     [solitude: gcn on lastfm with eps=8] Saving training results to output/bl_results.json
2023-01-25 23:54:25 INFO     [solitude: gcn on lastfm] Experiments done.
2023-01-25 23:54:25 INFO     All baseline experiments done!
